Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
3/9/1994,26.87742345,26.98507668,26.75182801,26.96713448,2500100,9,2,10,3,1994
3/10/1994,26.94919726,26.94919726,26.66212192,26.75183296,207400,10,3,10,3,1994
3/11/1994,26.78770203,26.93123962,26.64416445,26.89535522,576600,11,4,10,3,1994
3/14/1994,27.00302035,27.00302035,26.89536711,26.93125153,345900,14,0,11,3,1994
3/15/1994,26.98506645,27.03889304,26.89535545,26.91329765,748600,15,1,11,3,1994
3/16/1994,26.94919995,27.12862206,26.8594889,27.12862206,455500,16,2,11,3,1994
3/17/1994,27.038911,27.16450648,27.038911,27.12862206,133000,17,3,11,3,1994
3/18/1994,26.99636839,27.1587797,26.97832269,27.12268829,365500,18,4,11,3,1994
3/21/1994,27.03245708,27.10463987,26.97831998,27.05050278,324800,21,0,12,3,1994
3/22/1994,27.05050549,27.1768254,26.99636839,27.12268829,435700,22,1,12,3,1994
3/23/1994,27.10464096,27.17682376,27.08659526,27.10464096,698500,23,2,12,3,1994
3/24/1994,26.99637943,27.05051656,26.65351098,26.77983093,1200500,24,3,12,3,1994
3/25/1994,26.79787679,26.87005962,26.52719116,26.52719116,100900,25,4,12,3,1994
3/28/1994,26.56328011,26.59937152,26.32868592,26.56328011,1117200,28,0,13,3,1994
3/29/1994,26.56327675,26.58132245,26.03995132,26.03995132,338400,29,1,13,3,1994
3/30/1994,26.05799108,26.13017388,25.67903137,25.67903137,1123900,30,2,13,3,1994
3/31/1994,25.67903028,25.80535017,25.13765929,25.75121307,788800,31,3,13,3,1994
4/4/1994,25.0293967,25.42640227,25.0293967,25.35421944,2627300,4,0,14,4,1994
4/5/1994,25.60685124,25.87753677,25.60685124,25.87753677,1179000,5,1,14,4,1994
4/6/1994,25.91362818,25.93167388,25.69707975,25.87753677,516500,6,2,14,4,1994
4/7/1994,25.85949673,26.0579995,25.71513108,26.00386238,666100,7,3,14,4,1994
4/8/1994,25.94972069,25.94972069,25.67903515,25.80535507,242400,8,4,14,4,1994
4/11/1994,25.87754574,26.02191141,25.81438577,25.91363716,203300,11,0,15,4,1994
4/12/1994,25.94069673,25.98581099,25.82339967,25.87753677,1409200,12,1,15,4,1994
4/13/1994,25.86851888,25.93167885,25.55271904,25.74219894,364100,13,2,15,4,1994
4/14/1994,25.69707598,25.88655582,25.64293888,25.75121307,419900,14,3,15,4,1994
4/15/1994,25.74219022,25.85948727,25.70609883,25.75121307,387300,15,4,15,4,1994
4/18/1994,25.77829866,25.85048151,25.49859014,25.57979584,369100,18,0,16,4,1994
